,weighted_mean,freq,min,max,std
NP NN NN NN ,0.7401118253253886,193,0.6234668258,0.8104844987,0.077987048781748
NN NN NN NN ,0.6858282139929305,1754,0.6018659311,0.8094454777,0.058076195382259416
VVG NNS NN NN ,0.8087490087999998,14,0.8087490088,0.8087490088,2.220446049250313e-16
JJ NNS VVG ,0.8086312155,18,0.8086312155,0.8086312155,0.0
JJ NP JJ ,0.76866777005,2,0.7289061886,0.8084293515,0.03976158144999997
JJ JJ NN NN ,0.6916922250779614,2178,0.6065902542,0.8072602286,0.03310940653723421
JJ PDT ,0.8070845163,1,0.8070845163,0.8070845163,0.0
JJ JJ NP ,0.8063018886,16,0.8039348239,0.8066400407,0.0008946663619142148
JJ NN NNS JJ ,0.8064104035,64,0.8064104035,0.8064104035,0.0
VV VV NN ,0.7811133972000001,5,0.7598013414,0.8055158989,0.02011516335865801
NP VVD JJ NN ,0.7193541181464286,28,0.6383548645,0.8051621047,0.06283191555112562
VVZ VVG ,0.7425816594333333,24,0.6437556646,0.8051378114,0.0754282463527416
NP NN VVN NN ,0.8046472572,1,0.8046472572,0.8046472572,0.0
VV VVG NN ,0.7160850004325153,163,0.6263672822,0.8038586251,0.03910385697405651
VVP JJ NN ,0.7442602299999999,29,0.6231312851,0.8036384509,0.06264295502343922
JJ NP NP NP ,0.6123128307227272,22,0.6032058688,0.8035590311,0.04173334236197831
VVG JJ NNS ,0.7757228743376815,69,0.7082253562,0.8031596625,0.0331854553842565
NN JJ JJ NNS ,0.8024672838000001,6,0.8024672838,0.8024672838,1.1102230246251565e-16
VVG NN NN NN ,0.6947965865239317,117,0.603325939,0.8017552241,0.07436084747570838
RBR VVG ,0.7152066581333333,3,0.6218163151,0.8009578347,0.07333343330013663
NNS JJ NN ,0.7166880274387756,98,0.7025459855,0.8000143962,0.030678213910268818
VVP VVG NN ,0.764956123575,4,0.6920546746,0.7999421615,0.04407734165344783
VVG VVG NN ,0.7261014874153844,13,0.60235951,0.7985342956,0.07819286498568423
VVP NN NNS ,0.7969510377,3,0.7969510377,0.7969510377,0.0
JJR VVP ,0.7754002369,5,0.7500611377,0.7939307056,0.01671841639716088
VV NN RB ,0.7938890678,11,0.7938890678,0.7938890678,0.0
NPS NP ,0.7825131975999999,2,0.7713904441,0.7936359511,0.011122753499999971
JJ NN NP NN NN ,0.7928444318,12,0.7928444318,0.7928444318,0.0
NNS NNS VVP ,0.7927269235,8,0.7927269235,0.7927269235,0.0
NNS NNS NN ,0.7927269235,2,0.7927269235,0.7927269235,0.0
JJ NN VV ,0.7046998156071427,14,0.6979718665,0.792163154,0.024257965484515746
RB VVG NN ,0.7814801587294118,17,0.7196765797,0.7921616546,0.02167818608357721
NN NN NN VV ,0.7562831993166667,12,0.7311322499,0.7914945285,0.029759004673940548
VVN NN NP ,0.7910633968,1,0.7910633968,0.7910633968,0.0
VVZ VVG NN ,0.6818029732685185,54,0.6314613244,0.7909747701,0.05069745216513105
